2021-11-30 17:16:52,504: Key.enter
2021-11-30 17:16:54,433: Key.shift
2021-11-30 17:16:54,625: Key.tab
2021-11-30 17:17:01,921: Key.ctrl_l
2021-11-30 17:17:02,116: '\x1a'
2021-11-30 17:17:02,531: '\x1a'
2021-11-30 17:17:03,200: '\x13'
2021-11-30 17:17:11,765: 'l'
2021-11-30 17:17:11,836: 'e'
2021-11-30 17:17:12,741: Key.backspace
2021-11-30 17:17:12,923: Key.backspace
2021-11-30 17:17:17,848: Key.cmd
2021-11-30 17:17:19,033: 'n'
2021-11-30 17:17:19,175: 't'
2021-11-30 17:17:19,206: 'o'
2021-11-30 17:17:19,297: 'e'
2021-11-30 17:17:26,290: 'f'
2021-11-30 17:17:26,361: 'o'
2021-11-30 17:17:26,544: 'r'
2021-11-30 17:17:26,685: Key.space
2021-11-30 17:17:26,859: 'i'
2021-11-30 17:17:27,173: Key.space
2021-11-30 17:17:27,326: 'i'
2021-11-30 17:17:27,459: 'n'
2021-11-30 17:17:27,661: Key.space
2021-11-30 17:17:28,299: Key.shift
2021-11-30 17:17:28,524: '('
2021-11-30 17:17:28,635: ')'
2021-11-30 17:17:29,174: Key.left
2021-11-30 17:17:29,375: '1'
2021-11-30 17:17:29,771: '0'
2021-11-30 17:17:30,199: Key.end
2021-11-30 17:17:30,410: Key.shift
2021-11-30 17:17:30,532: ':'
2021-11-30 17:17:30,774: Key.enter
2021-11-30 17:17:32,347: 'e'
2021-11-30 17:17:32,662: Key.backspace
2021-11-30 17:17:32,916: 'p'
2021-11-30 17:17:33,062: 'r'
2021-11-30 17:17:33,179: 'i'
2021-11-30 17:17:33,331: 'n'
2021-11-30 17:17:33,465: 't'
2021-11-30 17:17:33,728: Key.shift
2021-11-30 17:17:33,839: '('
2021-11-30 17:17:34,042: ')'
2021-11-30 17:17:34,684: Key.left
2021-11-30 17:17:35,655: 'i'
2021-11-30 17:17:36,477: Key.enter
2021-11-30 17:17:37,819: Key.up
2021-11-30 17:17:39,058: Key.up
2021-11-30 17:17:39,582: Key.enter
2021-11-30 17:17:40,688: Key.space
2021-11-30 17:17:40,920: Key.space
2021-11-30 17:17:41,113: 'p'
2021-11-30 17:17:41,285: 'r'
2021-11-30 17:17:41,401: 'i'
2021-11-30 17:17:41,549: 'n'
2021-11-30 17:17:41,610: 't'
2021-11-30 17:17:41,903: Key.shift
2021-11-30 17:17:42,016: '('
2021-11-30 17:17:42,108: ')'
2021-11-30 17:17:42,609: Key.left
2021-11-30 17:17:43,426: 'i'
2021-11-30 17:17:43,731: Key.enter
2021-11-30 17:17:45,435: Key.enter
2021-11-30 17:17:47,458: Key.up
2021-11-30 17:17:49,598: Key.up
2021-11-30 17:17:50,326: Key.enter
2021-11-30 17:17:51,656: Key.space
2021-11-30 17:17:51,981: Key.space
2021-11-30 17:17:52,652: Key.backspace
2021-11-30 17:17:53,047: 'p'
2021-11-30 17:17:53,260: 'r'
2021-11-30 17:17:53,467: 'i'
2021-11-30 17:17:53,686: 'n'
2021-11-30 17:17:53,819: 't'
2021-11-30 17:17:54,082: Key.shift
2021-11-30 17:17:54,145: '('
2021-11-30 17:17:54,276: ')'
2021-11-30 17:17:54,757: Key.left
2021-11-30 17:17:55,676: 'i'
2021-11-30 17:17:56,386: Key.enter
2021-11-30 17:17:57,757: Key.enter
2021-11-30 17:18:25,085: 'i'
2021-11-30 17:18:25,176: 'f'
2021-11-30 17:18:25,693: Key.space
2021-11-30 17:18:26,220: '3'
2021-11-30 17:18:27,754: '='
2021-11-30 17:18:27,945: '='
2021-11-30 17:18:28,129: '3'
2021-11-30 17:18:28,677: Key.shift
2021-11-30 17:18:28,930: Key.shift
2021-11-30 17:18:28,940: ':'
2021-11-30 17:18:29,478: Key.enter
2021-11-30 17:18:30,401: Key.space
2021-11-30 17:18:30,879: 'p'
2021-11-30 17:18:31,025: 'r'
2021-11-30 17:18:31,195: 'i'
2021-11-30 17:18:31,345: 'n'
2021-11-30 17:18:31,467: 't'
2021-11-30 17:18:33,122: Key.shift
2021-11-30 17:18:33,295: '('
2021-11-30 17:18:33,376: ')'
2021-11-30 17:18:33,835: Key.left
